Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Horse-gram,2001,Kharif,91171,28017,1672.5,9311294.23,23704.46,0.315172414,2,24.93
Jowar,2001,Kharif,12260,7090,1672.5,1252113.8,3187.6,0.607894737,2,24.93
Jute,2001,Kharif,4612,37776,1672.5,471023.56,1199.12,8.092222222,2,24.93
Linseed,2001,Rabi,23080,8530,1672.5,2357160.4,6000.8,0.355333333,2,24.93
Maize,2001,Kharif,51428,46658,1672.5,5252341.64,13371.28,0.714615385,2,24.93
Masoor,2001,Rabi,8790,3250,1672.5,897722.7,2285.4,0.364,2,24.93
Moong(Green Gram),2001,Kharif,212511,51097,1672.5,21703748.43,55252.86,0.235666667,2,24.93
Niger seed,2001,Kharif,115170,26960,1672.5,11762312.1,29944.2,0.283076923,2,24.93
Niger seed,2001,Rabi,28290,8860,1672.5,2889257.7,7355.4,0.365833333,2,24.93
Onion,2001,Whole Year,19410,173430,1672.5,1982343.3,5046.6,8.714333333,2,24.93
Other  Rabi pulses,2001,Rabi,35620,21120,1672.5,3637870.6,9261.2,0.62,2,24.93
Other Kharif pulses,2001,Kharif,21440,10630,1672.5,2189667.2,5574.4,0.47125,2,24.93
Potato,2001,Whole Year,7580,78049,1672.5,774145.4,1970.8,9.565714286,2,24.93
Ragi,2001,Kharif,76262,45077,1672.5,7788638.06,19828.12,0.489166667,2,24.93
Rapeseed &Mustard,2001,Rabi,14159,2224,1672.5,1446058.67,3681.34,0.139310345,2,24.93
Rice,2001,Kharif,4500000,7220000,1672.5,459585000,1170000,1.583666667,2,24.93
Safflower,2001,Rabi,3950,2190,1672.5,403413.5,1027,0.4905,2,24.93
Sesamum,2001,Kharif,51573,11341,1672.5,5267150.49,13408.98,0.225,2,24.93
Small millets,2001,Kharif,42360,20120,1672.5,4326226.8,11013.6,0.426875,2,24.93
Sugarcane,2001,Whole Year,10988,644007,1672.5,1122204.44,2856.88,52.85172414,2,24.93
